ts_code,name,industry,level,close,pct_chg,vol_ratio,turnover_rate,mv_亿,pe_ttm,xueqiu_url,update_date
688309.SH,恒誉科技,环境保护,⚡ 创60日新高,80.95,2.4684,1.02,2.79,64.28,60.6,https://xueqiu.com/S/SH688309,2026-09-02
301227.SZ,森鹰窗业,家居用品,⚡ 创60日新高,33.82,2.3918,0.92,3.0,25.0,-,https://xueqiu.com/S/SZ301227,2026-09-02
920504.BJ,博迅生物,医疗保健,⚡ 创60日新高,19.39,2.3759,1.77,6.12,3.31,46.2,https://xueqiu.com/S/BJ920504,2026-09-02
300640.SZ,德艺文创,家居用品,⚡ 创60日新高,7.1,2.3055,1.24,5.61,16.17,-,https://xueqiu.com/S/SZ300640,2026-09-02
920976.BJ,视声智能,通信设备,⚡ 创60日新高,20.88,2.3028,1.27,5.39,9.21,19.0,https://xueqiu.com/S/BJ920976,2026-09-02
002418.SZ,康盛股份,家用电器,⚡ 创60日新高,5.81,2.2887,1.24,35.45,66.02,270.0,https://xueqiu.com/S/SZ002418,2026-09-02
603363.SH,傲农生物,饲料,⚡ 创60日新高,3.13,2.2876,2.84,4.54,67.19,-,https://xueqiu.com/S/SH603363,2026-09-02
002955.SZ,鸿合科技,IT设备,🏆 创一年(250日)新高,40.01,2.2751,2.04,5.14,82.28,514.5,https://xueqiu.com/S/SZ002955,2026-09-02
600159.SH,大龙地产,区域地产,⚡ 创60日新高,2.75,2.2305,1.23,6.5,22.83,-,https://xueqiu.com/S/SH600159,2026-09-02
300551.SZ,古鳌科技,软件服务,⚡ 创60日新高,11.77,2.1701,0.83,5.64,38.53,23.8,https://xueqiu.com/S/SZ300551,2026-09-02
920592.BJ,华信永道,软件服务,⚡ 创60日新高,29.11,2.1404,2.48,28.33,14.64,-,https://xueqiu.com/S/BJ920592,2026-09-02
300855.SZ,图南股份,小金属,⚡ 创60日新高,35.2,2.1178,1.48,2.78,103.12,44.7,https://xueqiu.com/S/SZ300855,2026-09-02
603917.SH,合力科技,汽车配件,⚡ 创60日新高,13.59,2.027,1.27,2.22,27.7,175.1,https://xueqiu.com/S/SH603917,2026-09-02
603326.SH,我乐家居,家居用品,⚡ 创60日新高,7.55,2.027,1.01,1.82,24.1,18.2,https://xueqiu.com/S/SH603326,2026-09-02
000978.SZ,桂林旅游,旅游景点,⚡ 创60日新高,6.55,2.0249,3.33,6.7,30.66,334.7,https://xueqiu.com/S/SZ000978,2026-09-02
688552.SH,航天南湖,通信设备,⚡ 创60日新高,32.41,1.9503,1.4,2.54,109.3,-,https://xueqiu.com/S/SH688552,2026-09-02
603587.SH,地素时尚,服饰,⚡ 创60日新高,13.21,1.929,1.28,1.36,62.44,20.8,https://xueqiu.com/S/SH603587,2026-09-02
600803.SH,新奥股份,供气供热,⚡ 创60日新高,19.09,1.8677,1.48,0.47,586.39,13.5,https://xueqiu.com/S/SH600803,2026-09-02
603176.SH,汇通集团,建筑工程,⚡ 创60日新高,5.52,1.845,0.84,1.34,25.49,-,https://xueqiu.com/S/SH603176,2026-09-02
000731.SZ,四川美丰,农药化肥,⚡ 创60日新高,7.21,1.8362,2.6,9.21,39.57,-,https://xueqiu.com/S/SZ000731,2026-09-02
603889.SH,新澳股份,纺织,⚡ 创60日新高,6.22,1.8003,0.83,1.73,58.6,11.0,https://xueqiu.com/S/SH603889,2026-09-02
603818.SH,曲美家居,家居用品,🔥 创半年(120日)新高,3.96,1.7995,1.13,5.08,27.19,-,https://xueqiu.com/S/SH603818,2026-09-02
300973.SZ,立高食品,食品,⚡ 创60日新高,26.93,1.7763,1.8,4.38,31.93,17.5,https://xueqiu.com/S/SZ300973,2026-09-02
000768.SZ,中航西飞,航空,⚡ 创60日新高,23.02,1.7683,2.1,2.56,639.13,67.2,https://xueqiu.com/S/SZ000768,2026-09-02
920519.BJ,万德股份,化工原料,⚡ 创60日新高,10.99,1.7593,1.6,2.65,8.72,23.3,https://xueqiu.com/S/BJ920519,2026-09-02
000803.SZ,山高环能,环境保护,⚡ 创60日新高,7.55,1.752,1.24,2.32,35.1,64.2,https://xueqiu.com/S/SZ000803,2026-09-02
000576.SZ,甘化科工,电气设备,⚡ 创60日新高,8.59,1.6568,1.52,12.69,37.26,48.3,https://xueqiu.com/S/SZ000576,2026-09-02
920370.BJ,新安洁,环境保护,⚡ 创60日新高,3.1,1.6393,1.75,3.38,8.13,-,https://xueqiu.com/S/BJ920370,2026-09-02
603236.SH,移远通信,通信设备,⚡ 创60日新高,63.6,1.6137,1.61,6.01,257.81,26.6,https://xueqiu.com/S/SH603236,2026-09-02
300103.SZ,达刚控股,专用机械,⚡ 创60日新高,8.93,1.5927,1.04,2.87,28.34,-,https://xueqiu.com/S/SZ300103,2026-09-02
600054.SH,黄山旅游,旅游景点,⚡ 创60日新高,11.73,1.5584,2.09,3.22,60.21,28.9,https://xueqiu.com/S/SH600054,2026-09-02
603366.SH,日出东方,家用电器,⚡ 创60日新高,7.84,1.5544,1.24,5.22,63.74,37.5,https://xueqiu.com/S/SH603366,2026-09-02
