ts_code,name,细分行业,price_now,RPS_50,rps_50_chg,RPS_120,RPS_250,连续天数,pe_ttm,mv_亿,turnover_rate,xueqiu_url,更新日期,初次入选
301529.SZ,福赛科技,汽车配件,110.18,87.87,999.0,91.69,95.01,1,96.27,70.04,7.54,https://xueqiu.com/S/SZ301529,2026-08-24,2026-08-24
301536.SZ,星宸科技,半导体,114.31,96.62,-0.91,94.68,93.52,33,100.98,213.98,5.67,https://xueqiu.com/S/SZ301536,2026-08-24,2026-07-03
301607.SZ,富特科技,汽车配件,42.26,91.46,3.08,92.06,91.37,2,36.34,64.15,8.27,https://xueqiu.com/S/SZ301607,2026-08-24,2026-08-21
600162.SH,香江控股,全国地产,4.06,94.04,-3.01,99.32,96.34,21,,132.7,3.89,https://xueqiu.com/S/SH600162,2026-08-24,2026-07-23
600206.SH,有研新材,半导体,52.52,99.11,0.15,98.97,97.46,45,139.82,444.61,11.11,https://xueqiu.com/S/SH600206,2026-08-24,2026-06-12
600227.SH,赤天化,农药化肥,3.95,98.22,1.35,92.24,89.53,4,,50.47,23.3,https://xueqiu.com/S/SH600227,2026-08-24,2026-08-19
600228.SH,返利科技,互联网,8.2,89.57,999.0,96.0,93.22,1,,34.12,5.48,https://xueqiu.com/S/SH600228,2026-08-24,2026-08-24
600337.SH,ST美克,家居用品,3.25,91.73,999.0,92.02,89.1,1,,46.7,2.12,https://xueqiu.com/S/SH600337,2026-08-24,2026-08-24
600353.SH,旭光电子,元器件,37.02,97.2,1.13,98.66,96.45,15,186.18,306.83,13.43,https://xueqiu.com/S/SH600353,2026-08-24,2026-07-31
600428.SH,中远海特,水运,11.35,98.65,-0.15,94.77,92.39,27,16.92,277.54,1.57,https://xueqiu.com/S/SH600428,2026-08-24,2026-07-15
600613.SH,神奇制药,中成药,9.9,99.78,999.0,97.17,87.02,1,146.33,47.45,20.36,https://xueqiu.com/S/SH600613,2026-08-24,2026-08-24
600641.SH,先导基电,半导体,32.17,92.24,3.12,97.95,95.32,13,712.9,299.38,6.78,https://xueqiu.com/S/SH600641,2026-08-24,2026-08-06
600664.SH,哈药股份,化学制药,8.22,99.93,-0.02,99.47,94.8,16,66.82,207.02,15.34,https://xueqiu.com/S/SH600664,2026-08-24,2026-07-30
600667.SH,太极实业,半导体,20.3,96.2,1.31,98.61,97.83,51,92.44,424.58,9.89,https://xueqiu.com/S/SH600667,2026-08-24,2026-06-02
600721.SH,百花医药,生物制药,14.19,99.58,0.25,97.1,92.16,9,205.06,54.57,32.04,https://xueqiu.com/S/SH600721,2026-08-24,2026-08-12
600722.SH,金牛化工,化工原料,14.38,98.33,1.55,94.99,96.19,12,205.68,97.83,22.62,https://xueqiu.com/S/SH600722,2026-08-24,2026-08-07
600988.SH,赤峰黄金,黄金,48.77,99.18,-0.27,88.19,94.26,4,25.84,811.49,7.07,https://xueqiu.com/S/SH600988,2026-08-24,2026-08-19
601101.SH,昊华能源,煤炭开采,13.51,87.06,999.0,97.47,91.94,1,24.05,194.54,5.29,https://xueqiu.com/S/SH601101,2026-08-24,2026-08-24
601339.SH,百隆东方,纺织,7.75,89.42,-0.65,88.35,87.97,4,14.08,116.22,0.47,https://xueqiu.com/S/SH601339,2026-08-24,2026-08-19
601678.SH,滨化股份,化工原料,6.33,87.38,999.0,87.8,87.06,1,55.3,129.34,4.04,https://xueqiu.com/S/SH601678,2026-08-24,2026-08-24
601700.SH,风范股份,电气设备,7.71,99.2,0.66,93.29,90.25,3,,87.8,14.54,https://xueqiu.com/S/SH601700,2026-08-24,2026-08-20
601886.SH,江河集团,装修装饰,13.23,98.75,0.02,96.13,92.7,8,20.74,149.9,2.66,https://xueqiu.com/S/SH601886,2026-08-24,2026-08-13
601918.SH,新集能源,煤炭开采,10.92,91.07,999.0,94.83,91.4,1,11.63,282.89,3.6,https://xueqiu.com/S/SH601918,2026-08-24,2026-08-24
603061.SH,金海通,半导体,347.3,90.51,0.24,98.35,99.7,3,129.47,302.15,6.39,https://xueqiu.com/S/SH603061,2026-08-24,2026-08-20
603065.SH,宿迁联盛,化工原料,18.81,98.24,0.3,99.17,94.88,14,,78.81,15.22,https://xueqiu.com/S/SH603065,2026-08-24,2026-08-05
603110.SH,东方材料,染料涂料,25.37,95.18,0.85,95.56,89.4,14,4592.71,51.05,5.36,https://xueqiu.com/S/SH603110,2026-08-24,2026-08-05
603127.SH,昭衍新药,医疗保健,46.39,98.51,-0.4,93.85,87.93,9,70.22,291.2,5.86,https://xueqiu.com/S/SH603127,2026-08-24,2026-08-12
603156.SH,养元饮品,软饮料,47.73,93.51,-3.11,97.05,96.14,14,43.91,601.53,1.84,https://xueqiu.com/S/SH603156,2026-08-24,2026-08-05
