ts_code,name,industry,close,amount,circ_mv
920519.BJ,万德股份,化工原料,10.88,8186.13628,86351.6104
920510.BJ,丰光精密,机械基件,20.41,110212.46522,191839.0558
920509.BJ,同惠电子,电器仪表,22.02,95183.21481,184936.0974
920508.BJ,殷图网联,电气设备,14.88,8273.31234,47476.0164
920505.BJ,九菱科技,机械基件,26.77,19230.75289,96401.2489
920504.BJ,博迅生物,医疗保健,18.8,10179.22123,32132.7814
920496.BJ,许昌智能,电气设备,6.59,25834.11743,95553.9667
920493.BJ,并行科技,软件服务,114.39,205478.65511,510601.8995
920491.BJ,奥迪威,元器件,21.74,28822.48372,251799.0846
920489.BJ,佳先股份,化工原料,12.67,25878.68832,110007.9452
920478.BJ,峆一药业,化学制药,12.38,241912.64371,82951.1885
920476.BJ,海能技术,电器仪表,23.86,20386.68334,191667.2201
920475.BJ,三友科技,专用机械,11.66,5197.55248,65525.2473
920471.BJ,美邦科技,化工原料,11.77,13745.38782,62417.0244
920469.BJ,富恒新材,塑料,6.04,21619.88604,62482.6898
920455.BJ,汇隆活塞,专用机械,6.7,4492.1258,65198.6661
920454.BJ,同心传动,汽车配件,11.44,13399.63907,56319.692
920445.BJ,龙竹科技,家居用品,7.3,15549.61175,78845.9356
920438.BJ,戈碧迦,元器件,114.0,658129.38403,1589092.17
920436.BJ,大地电气,汽车配件,11.25,15735.47356,100556.9336
920433.BJ,大唐药业,中成药,4.86,11368.48279,82287.7685
920429.BJ,康比特,食品,10.52,13190.0776,119402.4113
920427.BJ,华维设计,建筑工程,11.03,120722.15582,56089.799
920425.BJ,乐创技术,专用机械,14.28,20603.11626,118379.2251
920422.BJ,润普食品,食品,9.45,12761.36222,62580.461
920419.BJ,路斯股份,饲料,11.44,22189.01591,110614.8175
920418.BJ,苏轴股份,汽车配件,17.66,16945.35654,277118.1628
920415.BJ,恒拓开源,软件服务,9.03,13922.2478,96779.0738
920414.BJ,欧普泰,电器仪表,8.13,11602.64112,45591.0782
920407.BJ,驰诚股份,电器仪表,10.96,5535.77211,49527.3237
920405.BJ,海希通讯,电器仪表,16.68,10863.72589,177292.6191
920403.BJ,康农种业,种植业,20.91,91585.26481,135921.1434
920402.BJ,硅烷科技,化工原料,8.32,29342.59523,227030.5665
920396.BJ,常辅股份,电器仪表,18.73,8261.07021,93119.7743
920395.BJ,朗鸿科技,IT设备,6.9,10122.9447,72510.7366
920394.BJ,民士达,造纸,51.15,64894.93317,742558.9334
920392.BJ,佳合科技,广告包装,14.08,23555.50281,50744.1792
920378.BJ,泰德股份,汽车配件,7.08,3743.17335,77691.5332
920375.BJ,派诺科技,电气设备,6.58,9879.53281,63835.6963
920374.BJ,云里物里,通信设备,15.37,7686.09281,53679.5529
920371.BJ,欧福蛋业,食品,7.73,50902.30621,150587.8239
920370.BJ,新安洁,环境保护,3.0,8121.0927,78715.86
920368.BJ,连城数控,专用机械,23.07,56615.94911,515168.1739
920367.BJ,新赣江,化学制药,28.88,268807.3308,121274.5653
920363.BJ,莱赛激光,电器仪表,10.09,14367.82868,71147.0126
920357.BJ,雅葆轩,元器件,15.67,27198.21986,98651.864
920351.BJ,华光源海,仓储物流,13.68,39932.29769,54501.5851
920346.BJ,威贸电子,元器件,15.0,5720.46561,67317.402
920344.BJ,三元基因,生物制药,21.18,113087.73985,240876.2408
920339.BJ,恒太照明,家用电器,10.63,6667.45861,160701.2945
920304.BJ,迪尔化工,化工原料,9.45,18836.70367,127981.2064
920300.BJ,辰光医疗,医疗保健,9.87,10697.92478,65666.7445
920299.BJ,灿能电力,电气设备,14.25,12371.94455,64716.0401
920284.BJ,灵鸽科技,专用机械,16.53,31302.12391,110851.3388
920278.BJ,鹿得医疗,医疗保健,6.49,9308.9395,64020.7997
920275.BJ,驱动力,农业综合,6.81,5090.9879,89833.7888
920274.BJ,宏裕包材,广告包装,15.52,8736.32251,126229.3344
920273.BJ,一致魔芋,食品,18.3,40106.96133,125520.0733
920271.BJ,邦德股份,汽车配件,9.25,8751.25164,53548.6487
920270.BJ,天铭科技,汽车配件,11.44,3119.36598,92986.6846
920267.BJ,鑫汇科,元器件,16.28,12441.04332,44244.2341
920266.BJ,生物谷,中成药,7.27,18742.42139,86142.5622
920263.BJ,中航泰达,环境保护,6.65,7610.66506,68165.5903
920262.BJ,太湖雪,纺织,14.6,17715.81507,56292.4885
920261.BJ,一诺威,化工原料,13.4,13049.81722,214729.904
920260.BJ,中寰股份,专用机械,8.33,4157.68127,82434.2706
920252.BJ,天宏锂电,电气设备,14.79,11970.78823,100914.0025
920249.BJ,利尔达,元器件,9.13,32882.20963,113823.3229
920247.BJ,华密新材,橡胶,14.62,30687.00101,200503.6727
920245.BJ,威博液压,机械基件,13.86,8744.32043,73727.3649
920242.BJ,建邦科技,汽车配件,13.89,2060.90112,73246.2273
920239.BJ,长虹能源,电气设备,20.18,17592.02669,362997.7996
920237.BJ,力佳科技,电气设备,11.28,8314.50938,105165.6937
920230.BJ,欧康医药,生物制药,11.05,36665.96678,52208.7615
920227.BJ,美登科技,软件服务,48.35,12411.18416,85667.5792
920225.BJ,利通科技,橡胶,17.0,55464.10272,140729.6618
920223.BJ,荣亿精密,机械基件,13.76,47825.50385,112385.144
920221.BJ,易实精密,汽车配件,12.56,9845.10488,77785.2204
920212.BJ,智新电子,元器件,10.8,21040.9669,55730.444
920208.BJ,青矩技术,建筑工程,11.0,43610.46793,177382.8111
920207.BJ,众诚科技,软件服务,21.67,37834.05739,122033.4522
920204.BJ,沪江材料,塑料,13.45,10374.11259,67237.5493
920199.BJ,倍益康,家用电器,24.75,37907.96405,93868.7186
920198.BJ,微创光电,IT设备,8.1,14298.11778,57077.4624
920195.BJ,三祥科技,汽车配件,12.69,5224.90802,89793.152
920190.BJ,雷神科技,IT设备,24.59,84452.36954,244530.4624
920185.BJ,贝特瑞,化工原料,20.09,63907.38445,2248994.5715
920184.BJ,国源科技,软件服务,11.85,24517.23631,105900.9046
920179.BJ,凯德石英,矿物制品,58.35,184276.40531,348457.2958
920175.BJ,东方碳素,化工原料,7.86,13551.59562,62323.795
920174.BJ,五新智能,工程机械,31.39,34039.54427,175487.9295
920171.BJ,志晟信息,软件服务,16.4,30301.81875,110916.4472
920169.BJ,七丰精工,机械基件,21.81,80390.37127,110885.4991
920167.BJ,同享科技,小金属,13.81,14086.3177,90267.4244
920163.BJ,方大新材,塑料,10.12,6119.59986,61409.7134
920160.BJ,北矿检测,电器仪表,19.07,3515.84179,48605.616
920158.BJ,长江能科,专用机械,8.07,11460.54587,43089.8941
920152.BJ,昆工科技,小金属,12.27,7914.04964,100739.0718
920149.BJ,旭杰科技,建筑工程,8.81,15207.75877,55738.2296
920146.BJ,华阳变速,汽车配件,5.7,107491.49456,61898.0909
920145.BJ,恒合股份,环境保护,10.41,4086.2299,50834.3723
920139.BJ,华岭股份,半导体,15.43,109331.99907,401734.6607
920132.BJ,泰鹏智能,家居用品,9.6,25472.12739,35097.7853
920130.BJ,立方控股,软件服务,16.99,22892.43595,97344.4072
920128.BJ,胜业电气,元器件,20.65,53006.73033,50179.5
920124.BJ,南特科技,机械基件,12.54,6821.29393,96033.0869
920123.BJ,芭薇股份,日用化工,11.05,15719.37939,71808.3101
920122.BJ,中纺标,综合类,24.75,36562.59406,92503.4666
920121.BJ,江天科技,广告包装,27.77,6629.63151,33116.4859
920118.BJ,太湖远大,塑料,20.99,5804.93856,65780.7709
920116.BJ,星图测控,软件服务,43.75,70048.55304,978621.875
920112.BJ,巴兰仕,专用机械,14.64,7999.26131,110009.2056
920111.BJ,聚星科技,电气设备,26.82,38326.65334,201922.7513
920110.BJ,雷特科技,电气设备,26.15,5673.60044,42464.985
920108.BJ,宏海科技,家用电器,8.73,4113.79724,63700.7585
920106.BJ,林泰新材,汽车配件,34.35,14158.50214,149978.5509
920101.BJ,志高机械,专用机械,16.37,5667.45001,167199.6048
920100.BJ,三协电机,电气设备,30.15,35337.67503,82605.5519
920099.BJ,瑞华技术,石油加工,16.95,23099.5815,99892.191
920098.BJ,科隆新材,橡胶,18.84,14558.65742,104327.751
920092.BJ,汉鑫科技,软件服务,26.0,25943.63837,85687.3134
920091.BJ,大鹏工业,专用机械,28.5,8268.11321,41325.57
920090.BJ,*ST同辉,IT设备,3.5,5057.93528,47219.4352
920089.BJ,禾昌聚合,塑料,10.23,16649.3791,114127.6968
920088.BJ,科力股份,石油开采,43.57,164527.83961,140950.8409
920087.BJ,秋乐种业,种植业,16.36,297827.53154,268379.4605
920086.BJ,科马材料,汽车配件,20.37,8634.86518,55756.9677
920082.BJ,方正阀门,机械基件,8.04,3541.59381,46008.3517
920080.BJ,奥美森,专用机械,20.66,4116.37688,47467.7983
920077.BJ,吉林碳谷,化纤,13.24,35096.72671,399730.8339
920076.BJ,国亮新材,其他建材,12.66,6327.40087,46629.2297
920075.BJ,柏星龙,广告包装,17.06,39426.50179,59929.5639
920068.BJ,天工股份,小金属,15.8,13752.41608,274418.4116
920066.BJ,科拜尔,塑料,18.67,9061.93118,37103.4996
920062.BJ,科润智控,电气设备,7.3,8190.53897,96990.7054
920061.BJ,西磁科技,专用机械,17.46,12507.46115,68730.2424
920060.BJ,万源通,元器件,31.29,348820.41749,296705.1471
920058.BJ,华洋赛车,摩托车,27.44,54178.90715,75719.0007
920057.BJ,百甲科技,钢加工,4.81,6014.03222,56052.0579
920056.BJ,能之光,塑料,14.8,12404.61817,70535.8321
920050.BJ,爱伦医疗,医疗保健,28.82,4877.50368,52171.8402
920047.BJ,诺思兰德,生物制药,15.58,100864.12654,280605.8133
920046.BJ,亿能电力,电气设备,20.38,45907.97724,113979.3014
920045.BJ,蘅东光,通信设备,553.22,934574.75076,1558893.6878
920039.BJ,国义招标,建筑工程,7.83,11727.54138,120440.9817
920037.BJ,广信科技,电气设备,37.91,17188.30388,296789.5426
920035.BJ,精创电气,专用机械,24.4,13127.5184,38397.792
920033.BJ,康普化学,化工原料,13.66,6034.1751,113148.8603
920030.BJ,德众汽车,汽车服务,4.75,19012.02203,53236.3271
920029.BJ,开发科技,电器仪表,32.35,12954.94634,651415.1539
920027.BJ,交大铁发,运输设备,11.6,6272.56135,83576.753
920026.BJ,卓兆点胶,机械基件,17.85,18820.65713,154620.5145
920023.BJ,*ST田野,食品,1.45,5697.80435,38977.2369
920022.BJ,世昌股份,汽车配件,18.81,5802.24913,31252.815
920021.BJ,流金科技,影视音像,8.2,217590.4182,202994.8319
920020.BJ,泰凯英,汽车配件,14.77,4212.51115,82122.5308
920019.BJ,铜冠矿建,建筑工程,15.61,29434.03121,261523.1746
920018.BJ,宏远股份,电气设备,14.93,13644.65957,97744.042
920017.BJ,星昊医药,化学制药,16.27,49586.88352,199421.255
920016.BJ,中草香料,日用化工,14.87,28694.47551,50910.7432
920015.BJ,锦华新材,化工原料,39.02,58716.24082,156128.5409
920014.BJ,特瑞斯,专用机械,8.78,9422.59522,58867.5276
920010.BJ,凯添燃气,供气供热,8.95,53715.27285,155930.3484
920009.BJ,丹娜生物,医疗保健,35.58,13297.26587,35864.64
920008.BJ,成电光信,通信设备,22.81,43122.72023,77710.6887
920007.BJ,酉立智能,电气设备,33.43,5084.33468,39133.9938
920006.BJ,晟楠科技,航空,18.9,65032.59169,90336.5417
920005.BJ,鼎佳精密,元器件,24.35,6863.84344,93289.0455
920003.BJ,中诚咨询,建筑工程,15.74,21280.83443,30640.1451
920002.BJ,万达轴承,工程机械,50.4,31082.53668,224769.6511
920001.BJ,纬达光电,元器件,11.91,41885.33373,107252.5442
920000.BJ,安徽凤凰,汽车配件,13.88,5252.72255,79940.3679
688981.SH,中芯国际,半导体,122.01,3162844.129,24409246.1739
688819.SH,天能股份,电气设备,20.8,33331.943,2021968.0
688809.SH,强一股份,半导体,524.6,628569.162,1359338.274
688807.SH,优迅股份,半导体,360.6,740147.676,576960.0
688805.SH,健信超导,医疗保健,39.81,60563.522,133506.816
688802.SH,沐曦股份,半导体,564.0,3622734.859,1832695.44
688800.SH,瑞可达,元器件,69.87,638218.739,2014959.969
688799.SH,华纳药厂,化学制药,59.45,371342.922,794471.965
688798.SH,艾为电子,半导体,55.36,153679.615,751476.5862
688796.SH,百奥赛图,生物制药,138.0,527911.869,532783.5
688795.SH,摩尔线程,半导体,412.0,2422740.906,2307200.0
