date,code,name,close,pct_chg,pct_5d,pct_10d,pct_20d,pct_60d,turnover,up_count,down_count,amount_yi
2026-09-01,BK0839,知识产权,2088.32,2.32,6.37,4.84,6.85,2.72,4.87,35,8,177.57256522
2026-09-01,BK0841,体外诊断概念,1349.21,1.07,0.71,-0.22,7.54,8.96,1.38,51,16,92.43568618
2026-09-01,BK0843,天然气,1762.49,0.95,2.93,1.81,5.96,1.19,0.57,98,26,234.53640984
2026-09-01,BK0845,百度概念,1684.88,1.8,5.78,1.83,2.1,-1.44,3.11,120,27,806.56236583
2026-09-01,BK0847,影视概念,960.46,2.86,9.05,8.25,7.36,3.9,3.91,55,7,236.66643904
2026-09-01,BK0852,冷链物流,2065.51,1.26,2.19,0.16,5.28,3.12,1.37,93,21,241.55588461
2026-09-01,BK0853,电子竞技,1369.31,1.42,3.79,1.82,0.24,-1.3,1.92,26,9,160.42308738
2026-09-01,BK0854,华为概念,4349.1,0.1,3.62,-0.51,6.63,-2.57,2.0,430,320,3299.96577694
2026-09-01,BK0856,工业大麻,1902.08,1.07,2.83,0.73,4.05,6.65,1.42,29,6,42.40929513
2026-09-01,BK0859,超清视频,2219.67,0.42,5.28,1.78,6.79,-0.79,1.84,63,35,490.87002853
2026-09-01,BK0860,边缘计算,2115.14,0.5,3.99,-1.09,2.32,-4.38,1.11,86,39,479.04584309
2026-09-01,BK0861,数字孪生,1579.02,0.8,3.47,-0.16,3.42,-5.49,1.3,64,26,141.41999167
2026-09-01,BK0864,氢能源,1477.37,0.15,2.54,-0.08,4.63,-4.5,0.95,168,98,683.84369205
2026-09-01,BK0866,人造肉,1318.9,1.27,4.59,0.98,10.44,15.71,3.27,16,2,46.82067237
2026-09-01,BK0867,富时罗素,1800.44,0.76,2.7,0.58,2.85,2.12,0.86,933,331,6070.24620579
2026-09-01,BK0868,GDR,1000.02,0.86,0.67,-1.04,-4.07,-0.02,0.54,8,2,65.85628115
2026-09-01,BK0870,单抗概念,1639.62,0.64,-1.09,-5.07,0.49,11.6,1.08,39,10,83.11159711
2026-09-01,BK0872,青蒿素,2016.28,0.09,-0.34,-5.87,2.74,13.0,0.69,7,4,22.08686525
2026-09-01,BK0873,垃圾分类,1588.93,0.77,1.96,1.3,3.43,-1.25,1.07,74,21,82.44354901
2026-09-01,BK0875,ETC,1773.77,1.53,5.16,3.49,5.22,-1.11,1.89,34,9,102.50764895
2026-09-01,BK0879,标准普尔,1726.11,0.9,2.65,0.96,2.88,2.53,0.79,798,233,4598.96254789
2026-09-01,BK0880,UWB概念,1731.42,0.43,2.17,-3.31,2.58,-11.72,1.84,13,6,76.77930511
2026-09-01,BK0882,猪肉概念,1249.37,2.31,4.76,2.82,11.24,15.56,1.8,37,2,72.51647664
2026-09-01,BK0883,数字货币,1770.65,2.63,5.59,6.0,5.6,5.53,2.43,75,8,268.82020268
2026-09-01,BK0885,VPN,1141.01,0.88,5.49,0.67,0.48,1.75,2.31,13,6,61.71504761
2026-09-01,BK0886,智慧政务,1407.66,1.9,5.96,2.81,4.32,1.52,2.26,78,10,163.73330837
2026-09-01,BK0887,鸡肉概念,759.84,1.95,4.47,3.93,8.92,10.66,1.06,20,0,27.64919493
2026-09-01,BK0888,农业种植,2558.66,4.71,9.92,7.21,17.04,13.39,4.23,78,7,243.92608536
2026-09-01,BK0889,医美概念,1818.56,1.27,0.08,-1.94,5.34,10.16,1.54,66,13,148.11852665
2026-09-01,BK0892,乳业,1084.73,3.39,5.77,3.49,12.03,11.71,2.44,32,0,70.48231495
2026-09-01,BK0894,阿兹海默,1952.64,1.71,2.53,0.18,4.95,13.33,3.82,20,1,43.22797742
2026-09-01,BK0895,维生素,1943.84,1.32,1.38,-1.8,6.68,14.32,2.11,29,5,57.95708058
2026-09-01,BK0896,白酒,1911.39,2.18,2.48,1.23,1.86,-0.07,1.07,41,4,115.25020114
2026-09-01,BK0897,IPv6,1430.56,0.51,6.4,2.7,7.06,8.92,1.53,6,6,180.16380203
2026-09-01,BK0898,胎压监测,2246.48,0.42,1.53,-0.33,3.24,-3.5,1.23,17,9,34.54984414
2026-09-01,BK0899,CRO,2174.6,0.1,-4.65,-8.41,12.95,36.94,1.96,27,21,134.97957504
2026-09-01,BK0900,新能源车,2435.8,-0.17,2.27,-1.09,6.38,-7.14,1.59,347,344,1962.49339597
2026-09-01,BK0901,3D摄像头,1639.68,-0.21,3.76,-3.19,1.05,-18.23,1.42,3,6,52.46464408
2026-09-01,BK0905,传感器,2195.58,-0.21,3.18,-2.12,7.34,-5.54,1.75,57,74,387.14133151
2026-09-01,BK0906,流感,1653.64,1.07,1.14,-1.38,4.39,10.75,1.78,108,20,201.75308463
2026-09-01,BK0907,转基因,1611.23,6.7,12.9,9.96,26.59,17.8,5.55,19,0,80.16498332
2026-09-01,BK0909,降解塑料,2050.06,0.58,3.61,1.71,8.23,2.11,1.34,41,24,102.14610331
2026-09-01,BK0914,医废处理,1264.7,1.0,3.72,3.24,6.27,-3.33,1.24,27,5,26.4496913
2026-09-01,BK0918,特高压,2691.43,0.01,1.2,-1.77,2.35,-9.38,1.11,55,34,301.45025046
